exercise_id,example_id,example_name,example
7,11,Flatten - Tuple,"<span class=""keyword-highlighting"">FLATTEN</span> is generally used in combination with <span class=""keyword-highlighting"">FOREACH</span> operator as it eliminates nesting for each column.<br/><br/>
<div class=""example-header-setting"">Example 1: Flatten using position</div> 
Given <span class=""alias-settings"">A</span> as follows:<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(a,(b,c))<br/>
(d,(e,f))<br/>
(g,(h,i))<br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> $0, <span class=""keyword-highlighting"">FLATTEN</span>($1);<br/> 
<span class=""alert-settings"">Note</span>: $0 and $1 refer to the position of the the field in the tuple.<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(a,b,c)<br/>
(d,e,f)<br/>
(g,h,i)<br/>
<br/>"
7,12,Flatten with names,"<div class=""example-header-setting"">Example 2: Flatten using names</div>
Given <span class=""alias-settings"">A</span>: {a1:chararray, a2:tuple(b1:chararray, b2:chararray)}<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(a,(b,c))<br/>
(d,(e,f))<br/>
(g,(h,i))<br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> a1, <span class=""keyword-highlighting"">FLATTEN</span>(a2);<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(a,b,c)<br/>
(d,e,f)<br/>
(g,h,i)<br/>"
8,13,Flatten - Bag,"<span class=""keyword-highlighting"">FLATTEN</span> is generally used in combination with <span class=""keyword-highlighting"">FOREACH</span> operator as it eliminates nesting for each column.<br/><br/>
<div class=""example-header-setting"">Example 1: Given <span class=""alias-settings"">A</span>.</div>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
{(b,c), (d,e)})<br/>
{(f,g),(h,i)}<br/>
{(j,k),(l,m)}<br/><br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> <span class=""keyword-highlighting"">FLATTEN</span>($0);<br/>
<span class=""alert-settings"">Note</span>: $0 refers to the position of the the field in the tuple.<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(b,c),<br/>(d,e),<br/>
(f,g),<br/>(h,i),<br/>
(j,k),<br/>(l,m)<br/><br/>"
8,14,Flatten - Bag,"<div class=""example-header-setting"">Example 2: Given <span class=""alias-settings"">A</span>.</div><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(a, {(b,c), (d,e)})<br/>
(f, {(g,h), (i,j)})<br/>
(k, {(l,m), (n,o)})<br/><br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> $0, <span class=""keyword-highlighting"">FLATTEN</span>($1);<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(a,b,c),<br/> (a,d,e),<br/>
(f,g,h),<br/> (f,i,j),<br/>
(k,l,m),<br/> (k,n,o)<br/>"
9,15,Inner Join,"<div class=""example-header-setting"">Example 1: Inner join on 2 relations.</div>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directors</span>; #{director, movie}<br/>
(Francis Lawrence, The Hunger Games- Catching Fire)<br/>
(Christopher Nolan, The Dark Knight Rises)<br/>
(Francis Lawrence, I am Legend)<br/>
(Christopher Nolan, Inception)<br/>
(Christopher Nolan, The Dark Knight)<br/>
(Pierre Coffin, Despicable Me)<br/>
(Sergio Leone, The Good, the Bad and the Ugly)<br/>
(Sidney Lumet, Angry Men)<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>; #{movie, rating}<br/>
(The Hunger Games- Catching Fire, 8.0)<br/>
(The Dark Knight Rises, 8.6)<br/>
(I am Legend, 7.2)<br/>
(Inception, 8.8)<br/>
(The Dark Knight, 9.0)<br/>
(Despicable Me, 7.7)<br/>
(The Shawshank Redemption, 9.2)<br/>
(Pulp Fiction, 8.9)<br/><br/>
<span class=""alias-settings"">movieInfo</span> = <span class=""keyword-highlighting"">JOIN</span> <span class=""alias-settings"">directors</span> <span class=""keyword-highlighting"">BY</span> movie, <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> movie;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">movieInfo</span>;<br/>
(Christopher Nolan,Inception,Inception, 8.8)<br/>
(Francis Lawrence,I am Legend,I am Legend, 7.2)<br/>
(Pierre Coffin,Despicable Me,Despicable Me, 7.7)<br/>
(Christopher Nolan,The Dark Knight,The Dark Knight, 9.0)<br/>
(Christopher Nolan,The Dark Knight Rises,The Dark Knight Rises, 8.6)<br/>
(Francis Lawrence,The Hunger Games-Catching Fire,The Hunger Games-Catching Fire, 8.0)<br/>"
10,16,Outer Join - Left,"<div class=""example-header-setting"">Example 1: Left outer join on 2 relations.</div>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directors</span>; #{director, movie} <br/>
(Francis Lawrence, The Hunger Games- Catching Fire)<br/>
(Christopher Nolan, The Dark Knight Rises)<br/>
(Francis Lawrence, I am Legend)<br/>
(Christopher Nolan, Inception)<br/>
(Christopher Nolan, The Dark Knight)<br/>
(Pierre Coffin, Despicable Me)<br/>
(Sergio Leone, The Good, the Bad and the Ugly)<br/>
(Sidney Lumet, Angry Men)<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>; #(movie, rating)<br/>
(The Hunger Games- Catching Fire, 8.0)<br/>
(The Dark Knight Rises, 8.6)<br/>
(I am Legend, 7.2)<br/>
(Inception, 8.8)<br/>
(The Dark Knight, 9.0)<br/>
(Despicable Me, 7.7)<br/>
(The Shawshank Redemption, 9.2)<br/>
(Pulp Fiction, 8.9)<br/><br/>
<span class=""alias-settings"">movieInfo</span> = <span class=""keyword-highlighting"">JOIN</span> <span class=""alias-settings"">directors</span> <span class=""keyword-highlighting"">BY</span> movie <span class=""keyword-highlighting"">LEFT</span> <span class=""keyword-highlighting"">OUTER</span>, <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> movie;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">movieInfo</span>;<br/>
(Sergio Leone,The Good,,)<br/>
(Sidney Lumet,Angry Men,,)<br/>
(Christopher Nolan,Inception,Inception, 8.8)<br/>
(Francis Lawrence,I am Legend,I am Legend, 7.2)<br/>
(Christopher Nolan, The Dark Knight, 9.0)<br/>
(Pierre Coffin,Despicable Me,Despicable Me, 7.7)<br/>
(Christopher Nolan,The Dark Knight Rises,The Dark Knight Rises, 8.6)<br/>
(Francis Lawrence,The Hunger Games-Catching Fire,The Hunger Games-Catching Fire, 8.0)<br/><br/>
<span class=""alert-settings"">Note</span>: The resulting relation consists of directors whose movies aren't listed in the ratings relation."
11,17,Outer Join - Right,"<div class=""example-header-setting"">Example 1: Right outer join on 2 relations.</div>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directors</span>; #{director, movie}<br/>
(Francis Lawrence, The Hunger Games- Catching Fire)<br/>
(Christopher Nolan, The Dark Knight Rises)<br/>
(Francis Lawrence, I am Legend)<br/>
(Christopher Nolan, Inception)<br/>
(Christopher Nolan, The Dark Knight)<br/>
(Pierre Coffin, Despicable Me)<br/>
(Sergio Leone, The Good, the Bad and the Ugly)<br/>
(Sidney Lumet, Angry Men)<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>; #{movie, rating}<br/>
(The Hunger Games- Catching Fire, 8.0)<br/>
(The Dark Knight Rises, 8.6)<br/>
(I am Legend, 7.2)<br/>
(Inception, 8.8)<br/>
(The Dark Knight, 9.0)<br/>
(Despicable Me, 7.7)<br/>
(The Shawshank Redemption, 9.2)<br/>
(Pulp Fiction, 8.9)<br/><br/>
<span class=""alias-settings"">movieInfo</span> = <span class=""keyword-highlighting"">JOIN</span> <span class=""alias-settings"">directors</span> <span class=""keyword-highlighting"">BY</span> movie <span class=""keyword-highlighting"">RIGHT</span> <span class=""keyword-highlighting"">OUTER</span>, <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> movie;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">movieInfo</span>;<br/>
(Christopher Nolan,Inception,Inception, 8.8)<br/>
(Francis Lawrence,I am Legend,I am Legend, 7.2)<br/>
(,,Pulp Fiction, 8.9)<br/>
(Pierre Coffin,Despicable Me,Despicable Me, 7.7)<br/>
(Christopher Nolan,The Dark Knight,The Dark Knight, 9.0)<br/>
(Christopher Nolan,The Dark Knight Rises,The Dark Knight Rises, 8.6)<br/>
(,,The Shawshank Redemption, 9.2)<br/>
(Francis Lawrence,The Hunger Games-Catching Fire,The Hunger Games-Catching Fire, 8.0)<br/><br/>
<span class=""alert-settings"">Note</span>: The resulting relation consists of movies with directors missing from the directors relation."
12,18,Outer Join - Full,"<div class=""example-header-setting"">Example 1: Full outer join on 2 relations.</div>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directors</span>; #{director, movie}<br/>
(Francis Lawrence, The Hunger Games- Catching Fire)<br/>
(Christopher Nolan, The Dark Knight Rises)<br/>
(Francis Lawrence, I am Legend)<br/>
(Christopher Nolan, Inception)<br/>
(Christopher Nolan, The Dark Knight)<br/>
(Pierre Coffin, Despicable Me)<br/>
(Sergio Leone, The Good, the Bad and the Ugly)<br/>
(Sidney Lumet, Angry Men)<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>; #{movie, rating}<br/>
(The Hunger Games- Catching Fire, 8.0)<br/>
(The Dark Knight Rises, 8.6)<br/>
(I am Legend, 7.2)<br/>
(Inception, 8.8)<br/>
(The Dark Knight, 9.0)<br/>
(Despicable Me, 7.7)<br/>
(The Shawshank Redemption, 9.2)<br/>
(Pulp Fiction, 8.9)<br/><br/>
<span class=""alias-settings"">movieInfo</span> = <span class=""keyword-highlighting"">JOIN</span> <span class=""alias-settings"">directors</span> <span class=""keyword-highlighting"">BY</span> movie <span class=""keyword-highlighting"">FULL</span> <span class=""keyword-highlighting"">OUTER</span>, <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> movie;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">movieInfo</span>;<br/>
(Sergio Leone,The Good,,)<br/>
 (Sidney Lumet,Angry Men,,)<br/>
(Christopher Nolan,Inception,Inception, 8.8)<br/>
(Francis Lawrence,I am Legend,I am Legend, 7.2)<br/>
(,,Pulp Fiction, 8.9)<br/>
(Pierre Coffin,Despicable Me,Despicable Me, 7.7)<br/>
(Christopher Nolan,The Dark Knight,The Dark Knight, 9.0)<br/>
(Christopher Nolan,The Dark Knight Rises,The Dark Knight Rises, 8.6)<br/>
(,,The Shawshank Redemption, 9.2)<br/>
(Francis Lawrence,The Hunger Games-Catching Fire,The Hunger Games-Catching Fire, 8.0)<br/><br/>
<span class=""alert-settings"">Note</span>: The resulting relation consists of all the movies and all the directors regardless of whether they have matching tuples in the other relation."
13,19,Group - Basic case,"<div class=""example-header-setting"">Example 1: Basic case</div>
<span class=""keyword-highlighting"">DESCRIBE</span> <span class=""alias-settings"">A</span>;<br/>
<span class=""alias-settings"">A</span>: {name: chararray, age: int}<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(John,18)<br/>
(Mary,19)<br/>
(Bill,20)<br/>
(Joe,18)<br/><br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">GROUP</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">BY</span> age;<br/>
<span class=""alias-settings"">B</span>: {group:int, A: {name: chararray,age: int}}<br/>
<span class=""alert-settings"">Note</span>: Notice the name of the fields. The first field is named group and is the same type as the group key. The second field takes the name of the original relation and is type bag.<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(18,{(John,18),(Joe,18)})<br/>
(19,{(Mary,19)})<br/>
(20,{(Bill,20)})<br/>"
14,20,Group - With Foreach,"<div class=""example-header-setting"">Example 1: GROUP with FOREACH statements.</div>
As seen in the example from the previous subtopic - Given <span class=""alias-settings"">A</span><br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(John,18)<br/>
(Mary,19)<br/>
(Bill,20)<br/>
(Joe,18)<br/><br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">GROUP</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">BY</span> age;<br/>
<span class=""alias-settings"">B</span>: {group:int, A: {name: chararray,age: int}}<br/>
<span class=""alert-settings"">Note</span>: Notice the name of the fields. The first field is named group and is the same type as the group key. The second field takes the name of the original relation and is type bag(containing tuples from the original relation).<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(18,{(John,18),(Joe,18)})<br/>
(19,{(Mary,19)})<br/>
(20,{(Bill,20)})<br/><br/>
If we then want to work on the resulting relation <span class=""alias-settings"">B</span>,
<span class=""alias-settings"">C</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">B</span> <span class=""keyword-highlighting"">GENERATE</span> group, <span class=""keyword-highlighting"">COUNT</span>(<span class=""alias-settings"">A</span>);<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">C</span>;<br/>
(18,2)<br/>
(19,1)<br/>
(20,1)<br/><br/>
<span class=""alert-settings"">Note</span>: ""group"" can also be replaced with $0 which refers to the same field by the position of the field in the tuple."
15,21,Group - With Expression,"<div class=""example-header-setting"">Example 1: <span class=""keyword-highlighting"">GROUP BY</span> expression</div>
<span class=""keyword-highlighting"">DESCRIBE</span> <span class=""alias-settings"">ratings</span>;<br/>
{movie: chararray, rating1: long, rating2: long, rating3: long}<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>;<br/>
(The Shawshank Redemption, 9.0, 9.5, 9.0)<br/>
(The Godfather, 8.9, 9.2, 9.4)<br/>
(The Dark Knight, 9.0, 8.7, 8.9)<br/>
(Schindler's List, 8.9, 8.9, 8.9)<br/>
(Fight Club, 8.7, 8.8, 8.9)<br/><br/>
<span class=""alias-settings"">ratingGroup</span> =  <span class=""keyword-highlighting"">GROUP</span> <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> ((rating1+rating2+rating3)/3);<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratingGroup</span>;<br/>
(8,{(The Godfather,8,9,9),(The Dark Knight,9,8,8),(Schindler's List,8,8,8),(Fight Club,8,8,8)})<br/>
(9,{(The Shawshank Redemption,9,9,9)})<br/>"
16,22,Group - With multiple fields,"<div class=""example-header-setting"">Example 1: Given a table ratings containing ratings from critics for movies:</div>
<span class=keyword-highlighting>DESCRIBE</span> <span class=alias-settings>ratings</span>;<br/>
{criticId: chararray, movie: chararray, rating: long}<br/><br/>
<span class=keyword-highlighting>DUMP</span> <span class=alias-settings>ratings</span>;<br/>
(critic1, The Shawshank Redemption, 9.0)<br/>
(critic3, The Dark Knight, 8.8)<br/>
(critic3, The Shawshank Redemption, 9.5)<br/>
(critic1, Schindler's List, 9.0)<br/>
(critic1, The Dark Knight, 8.8)<br/>
(critic2, The Shawshank Redemption, 9.0)<br/>
(critic2, The Dark Knight, 8.8)<br/><br/>
If we want to get a list of critics that rated a particular movie with the exact same ratings.<br/><br/>
<span class=alias-settings>sameRatings</span> = <span class=keyword-highlighting>GROUP</span> <span class=alias-settings>ratings</spa <span class=keyword-highlighting>BY</span> (movie, rating);<br/>
<span class=keyword-highlighting>DUMP</span> <span class=alias-settings>sameRatings</span>;<br/>
(( The Dark Knight,8),{(critic3, The Dark Knight,8),(critic1, The Dark Knight,8),(critic2, The Dark Knight,8)})<br/>
(( Schindler's List,9),{(critic1, Schindler's List,9)})<br/>
(( The Shawshank Redemption,9),{(critic1, The Shawshank Redemption,9),(critic3, The Shawshank Redemption,9),(critic2, The Shawshank Redemption,9)})<br/>"
